Epoch 0 | Batch 63 | Time 0.100s | Total Loss 0.174328 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.265930 | Zero Loss 0.000000 | Nonzero Loss 0.049234
Epoch 0 | Batch 64 | Time 0.102s | Total Loss 0.169799 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.258077 | Zero Loss 0.000000 | Nonzero Loss 0.049842
Epoch 0 | Batch 65 | Time 0.101s | Total Loss 0.196748 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.305721 | Zero Loss 0.000000 | Nonzero Loss 0.044385
Epoch 0 | Batch 66 | Time 0.101s | Total Loss 0.176214 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.269415 | Zero Loss 0.000000 | Nonzero Loss 0.048548
Epoch 0 | Batch 67 | Time 0.100s | Total Loss 0.180406 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.277367 | Zero Loss 0.000000 | Nonzero Loss 0.046619
Epoch 0 | Batch 68 | Time 0.100s | Total Loss 0.169921 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.259577 | Zero Loss 0.000000 | Nonzero Loss 0.047248
Epoch 0 | Batch 69 | Time 0.100s | Total Loss 0.181783 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.280199 | Zero Loss 0.000000 | Nonzero Loss 0.045546
Epoch 0 | Batch 70 | Time 0.101s | Total Loss 0.187922 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.290755 | Zero Loss 0.000000 | Nonzero Loss 0.044899
Epoch 0 | Batch 71 | Time 0.101s | Total Loss 0.190509 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.295147 | Zero Loss 0.000000 | Nonzero Loss 0.044736
Epoch 0 | Batch 72 | Time 0.101s | Total Loss 0.167716 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.256620 | Zero Loss 0.000000 | Nonzero Loss 0.045813
Epoch 0 | Batch 73 | Time 0.101s | Total Loss 0.182996 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.283115 | Zero Loss 0.000000 | Nonzero Loss 0.043758
Epoch 0 | Batch 74 | Time 0.101s | Total Loss 0.187053 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.289731 | Zero Loss 0.000000 | Nonzero Loss 0.044048
Epoch 0 | Batch 75 | Time 0.101s | Total Loss 0.169217 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.260002 | Zero Loss 0.000000 | Nonzero Loss 0.044052
Epoch 0 | Batch 76 | Time 0.101s | Total Loss 0.161455 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.247064 | Zero Loss 0.000000 | Nonzero Loss 0.044056
Epoch 0 | Batch 77 | Time 0.101s | Total Loss 0.197608 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.308490 | Zero Loss 0.000000 | Nonzero Loss 0.041716
Epoch 0 | Batch 78 | Time 0.101s | Total Loss 0.175405 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.271369 | Zero Loss 0.000000 | Nonzero Loss 0.041945
Epoch 0 | Batch 79 | Time 0.101s | Total Loss 0.167854 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.258079 | Zero Loss 0.000000 | Nonzero Loss 0.043356
Epoch 0 | Batch 80 | Time 0.101s | Total Loss 0.169316 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.260830 | Zero Loss 0.000000 | Nonzero Loss 0.042726
Epoch 0 | Batch 81 | Time 0.100s | Total Loss 0.174502 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.269885 | Zero Loss 0.000000 | Nonzero Loss 0.041904
Epoch 0 | Batch 82 | Time 0.100s | Total Loss 0.202462 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.318337 | Zero Loss 0.000000 | Nonzero Loss 0.038198
Epoch 0 | Batch 83 | Time 0.101s | Total Loss 0.187892 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.292949 | Zero Loss 0.000000 | Nonzero Loss 0.040409
Epoch 0 | Batch 84 | Time 0.101s | Total Loss 0.172948 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.267891 | Zero Loss 0.000000 | Nonzero Loss 0.040712
Epoch 0 | Batch 85 | Time 0.101s | Total Loss 0.182336 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.284039 | Zero Loss 0.000000 | Nonzero Loss 0.039710
Epoch 0 | Batch 86 | Time 0.101s | Total Loss 0.173171 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.268412 | Zero Loss 0.000000 | Nonzero Loss 0.040413
Epoch 0 | Batch 87 | Time 0.101s | Total Loss 0.199448 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.314348 | Zero Loss 0.000000 | Nonzero Loss 0.036133
Epoch 0 | Batch 88 | Time 0.101s | Total Loss 0.181516 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.283002 | Zero Loss 0.000000 | Nonzero Loss 0.039049
Epoch 0 | Batch 89 | Time 0.102s | Total Loss 0.184613 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.287852 | Zero Loss 0.000000 | Nonzero Loss 0.039673
Epoch 0 | Batch 90 | Time 0.101s | Total Loss 0.185340 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.290370 | Zero Loss 0.000000 | Nonzero Loss 0.037060
Epoch 0 | Batch 91 | Time 0.101s | Total Loss 0.180577 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.281435 | Zero Loss 0.000000 | Nonzero Loss 0.039054
Epoch 0 | Batch 92 | Time 0.101s | Total Loss 0.176973 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.275951 | Zero Loss 0.000000 | Nonzero Loss 0.038007
Epoch 0 | Batch 93 | Time 0.101s | Total Loss 0.178208 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.278306 | Zero Loss 0.000000 | Nonzero Loss 0.037415
Epoch 0 | Batch 94 | Time 0.101s | Total Loss 0.177534 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.277141 | Zero Loss 0.000000 | Nonzero Loss 0.037495
Epoch 0 | Batch 95 | Time 0.102s | Total Loss 0.173547 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.270779 | Zero Loss 0.000000 | Nonzero Loss 0.036931
Epoch 0 | Batch 96 | Time 0.102s | Total Loss 0.166812 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.258764 | Zero Loss 0.000000 | Nonzero Loss 0.038513
Epoch 0 | Batch 97 | Time 0.101s | Total Loss 0.183327 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.286944 | Zero Loss 0.000000 | Nonzero Loss 0.037202
Epoch 0 | Batch 98 | Time 0.101s | Total Loss 0.173100 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.269790 | Zero Loss 0.000000 | Nonzero Loss 0.037420
Epoch 0 | Batch 99 | Time 0.100s | Total Loss 0.178538 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.279596 | Zero Loss 0.000000 | Nonzero Loss 0.035936
Epoch 0 | Batch 100 | Time 0.100s | Total Loss 0.165936 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.257691 | Zero Loss 0.000000 | Nonzero Loss 0.037736
Epoch 0 | Batch 101 | Time 0.100s | Total Loss 0.175407 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.274329 | Zero Loss 0.000000 | Nonzero Loss 0.036033
Epoch 0 | Batch 102 | Time 0.100s | Total Loss 0.164475 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.255195 | Zero Loss 0.000000 | Nonzero Loss 0.037861
Epoch 0 | Batch 103 | Time 0.101s | Total Loss 0.166852 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.260155 | Zero Loss 0.000000 | Nonzero Loss 0.035862
Epoch 0 | Batch 104 | Time 0.100s | Total Loss 0.168022 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.261681 | Zero Loss 0.000000 | Nonzero Loss 0.036712
Epoch 0 | Batch 105 | Time 0.100s | Total Loss 0.198362 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.313398 | Zero Loss 0.000000 | Nonzero Loss 0.034411
Epoch 0 | Batch 106 | Time 0.100s | Total Loss 0.181515 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.284323 | Zero Loss 0.000000 | Nonzero Loss 0.036403
Epoch 0 | Batch 107 | Time 0.100s | Total Loss 0.165176 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.257777 | Zero Loss 0.000000 | Nonzero Loss 0.035032
Epoch 0 | Batch 108 | Time 0.100s | Total Loss 0.169409 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.263951 | Zero Loss 0.000000 | Nonzero Loss 0.036795
Epoch 0 | Batch 109 | Time 0.100s | Total Loss 0.164420 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.256794 | Zero Loss 0.000000 | Nonzero Loss 0.034480
Epoch 0 | Batch 110 | Time 0.100s | Total Loss 0.186015 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.293463 | Zero Loss 0.000000 | Nonzero Loss 0.033125
Epoch 0 | Batch 111 | Time 0.100s | Total Loss 0.177936 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.279736 | Zero Loss 0.000000 | Nonzero Loss 0.033649
Epoch 0 | Batch 112 | Time 0.100s | Total Loss 0.181062 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.285027 | Zero Loss 0.000000 | Nonzero Loss 0.033486
Epoch 0 | Batch 113 | Time 0.100s | Total Loss 0.179271 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.282800 | Zero Loss 0.000000 | Nonzero Loss 0.031970
Epoch 0 | Batch 114 | Time 0.101s | Total Loss 0.169031 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.264951 | Zero Loss 0.000000 | Nonzero Loss 0.033535
Epoch 0 | Batch 115 | Time 0.100s | Total Loss 0.169947 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.266448 | Zero Loss 0.000000 | Nonzero Loss 0.033594
Epoch 0 | Batch 116 | Time 0.100s | Total Loss 0.178557 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.281486 | Zero Loss 0.000000 | Nonzero Loss 0.032218
Epoch 0 | Batch 117 | Time 0.100s | Total Loss 0.159324 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.248549 | Zero Loss 0.000000 | Nonzero Loss 0.033982
Epoch 0 | Batch 118 | Time 0.100s | Total Loss 0.154519 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.240739 | Zero Loss 0.000000 | Nonzero Loss 0.033585
Epoch 0 | Batch 119 | Time 0.101s | Total Loss 0.178312 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.281625 | Zero Loss 0.000000 | Nonzero Loss 0.031124
Epoch 0 | Batch 120 | Time 0.100s | Total Loss 0.167904 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.263896 | Zero Loss 0.000000 | Nonzero Loss 0.031888
